x_r, y_r, living_room_signal, bedroom_signal, kitchen_signal, bathroom_signal
6.90, 2.80, -45.27, -25.27, -26.27, -32.93
3.00, 2.90, -27.68, -34.65, -37.24, -25.01
3.00, 2.90, -27.68, -34.65, -37.24, -25.01
3.00, 2.90, -27.68, -34.65, -37.24, -25.01
3.00, 2.90, -27.68, -34.65, -37.24, -25.01
2.80, 2.90, -31.20, -37.92, -27.62, -30.00
2.80, 2.90, -31.20, -37.92, -27.62, -30.00
2.80, 2.90, -31.20, -37.92, -27.62, -30.00
2.80, 2.80, -34.58, -38.72, -28.71, -32.19
2.90, 2.90, -29.20, -36.09, -33.30, -27.10
2.90, 2.90, -29.20, -36.09, -33.30, -27.10
2.90, 2.80, -32.34, -36.74, -34.12, -29.12
2.80, 2.90, -31.20, -37.92, -27.62, -30.00
3.00, 2.80, -30.85, -35.34, -37.96, -27.11
6.90, 2.90, -46.70, -21.49, -27.51, -29.62
6.90, 2.90, -46.70, -21.49, -27.51, -29.62
6.90, 2.90, -46.70, -21.49, -27.51, -29.62
6.90, 2.90, -46.70, -21.49, -27.51, -29.62
6.90, 2.80, -45.27, -25.27, -26.27, -32.93
2.90, 2.90, -29.20, -36.09, -33.30, -27.10
2.90, 2.90, -29.20, -36.09, -33.30, -27.10
6.90, 2.90, -46.70, -21.49, -27.51, -29.62
6.90, 2.90, -46.70, -21.49, -27.51, -29.62
6.90, 2.90, -46.70, -21.49, -27.51, -29.62
6.90, 2.90, -46.70, -21.49, -27.51, -29.62
